Disease,Symptoms
Abdominal aortic aneurysm,Abdominal aortic aneurysms often grow slowly without noticeable symptoms This makes them difficult to detect Some aneurysms never rupture Many start small and stay small Others grow larger over time sometimes quickly If you have a growing abdominal aortic aneurysm you might notice: Deep constant pain in the belly area or side of the belly Back pain A pulse near the bellybutton
Absence seizure,A simple absence seizure causes a vacant stare which may be mistaken for a brief lapse in attention The seizure lasts about 10 seconds though it may last as long as 30 seconds There's no confusion headache or drowsiness after the seizure Symptoms of absence seizures include: A sudden stop in activity without falling Lip smacking Eyelid flutters Chewing motions Finger rubbing Small movements of both hands Afterward there's usually no memory of the incident But if the seizure is longer the person may be aware of missed time Some people have many episodes daily When it happens it can interfere with school or daily activities A child may have absence seizures for some time before an adult notices them This is because the seizures are so brief A decline in a child's learning ability may be the first sign of the seizure disorder Teachers may say the child has trouble paying attention or that a child is often daydreaming
Acanthosis nigricans,Symptoms The main sign of acanthosis nigricans is dark thick velvety skin in body folds and creases It often appears in the armpits groin and back of the neck It develops slowly The affected skin might be itchy have an odor and develop skin tags
Achalasia,Achalasia symptoms generally appear gradually and get worse over time Symptoms may include: Difficulty swallowing called dysphagia which may feel like food or drink is stuck in the throat Swallowed food or saliva flowing back into the throat Heartburn Belching Chest pain that comes and goes Coughing at night Pneumonia from getting food in the lungs Weight loss Vomiting Request an appointment There is a problem with information submitted for this request Review/update the information highlighted below and resubmit the form Get the latest health information from Mayo Clinic delivered to your inbox Subscribe for free and receive your in-depth guide to digestive health plus the latest on health innovations and news You can unsubscribe at any time Click here for an email preview Email address ErrorEmail field is required ErrorInclude a valid email address Address 1 Subscribe Learn more about Mayo Clinic’s use of data To provide you with the most relevant and helpful information and understand which information is beneficial we may combine your email and website usage information with other information we have about you If you are a Mayo Clinic patient this could include protected health information If we combine this information with your protected health information we will treat all of that information as protected health information and will only use or disclose that information as set forth in our notice of privacy practices You may opt-out of email communications at any time by clicking on the unsubscribe link in the e-mail Thank you for subscribing Your in-depth digestive health guide will be in your inbox shortly You will also receive emails from Mayo Clinic on the latest health news research and care If you don’t receive our email within 5 minutes check your SPAM folder then contact us at newsletters@mayocliniccom Sorry something went wrong with your subscription Please try again in a couple of minutes Retry
Achilles tendinitis,Symptoms The pain associated with Achilles tendinitis typically begins as a mild ache in the back of the leg or above the heel after running or other sports activity Episodes of more-severe pain may occur after prolonged running stair climbing or sprinting You might also experience tenderness or stiffness especially in the morning which usually improves with mild activity When to see a doctor If you experience persistent pain around the Achilles tendon call your doctor Seek immediate medical attention if the pain or disability is severe You may have a torn (ruptured) Achilles tendon
Achilles tendon rupture,"Although it's possible to have no signs or symptoms with an Achilles tendon rupture most people have: The feeling of having been kicked in the calf Pain possibly severe and swelling near the heel An inability to bend the foot downward or ""push off"" the injured leg when walking An inability to stand on the toes on the injured leg A popping or snapping sound when the injury occurs"
ACL injury,"Signs and symptoms of an ACL injury usually include: A loud pop or a ""popping"" sensation in the knee Severe pain and inability to continue activity Rapid swelling Loss of range of motion A feeling of instability or ""giving way"" with weight bearing"
Acne,Cystic acne Enlarge image Close Cystic acne Cystic acne Cystic acne — the most severe form of acne — occurs when oil and dead skin cells build up deep within hair follicles The resulting rupture within your skin may form boil-like inflammation Acne signs vary depending on the severity of your condition: Whiteheads (closed plugged pores) Blackheads (open plugged pores) Small red tender bumps (papules) Pimples (pustules) which are papules with pus at their tips Large solid painful lumps under the skin (nodules) Painful pus-filled lumps under the skin (cystic lesions) Acne usually appears on the face forehead chest upper back and shoulders
Acoustic neuroma,Symptoms of an acoustic neuroma are often easy to miss and may take years to develop Symptoms may occur because of the tumor's effects on the hearing and balance nerves The tumor also can put pressure on nearby nerves controlling facial muscles known as the facial nerve and sensation known as the trigeminal nerve Blood vessels or brain structures also can be affected by an acoustic neuroma As the tumor grows it may be more likely to cause more noticeable or worse symptoms Common symptoms of an acoustic neuroma include: Hearing loss usually gradually over months to years In rare cases hearing loss can be sudden Hearing loss usually occurs on one side or is worse on one side Ringing in the affected ear known as tinnitus Loss of balance or not feeling steady Dizziness Facial numbness and very rarely weakness or loss of muscle movement Rarely an acoustic neuroma may grow large enough to compress the brainstem and become life-threatening
Acromegaly,A common sign of acromegaly is enlarged hands and feet For example you may notice that you aren't able to put on rings that used to fit and that your shoe size has progressively increased Acromegaly may also cause gradual changes in your face's shape such as a protruding lower jaw and brow bone an enlarged nose thickened lips and wider spacing between your teeth Because acromegaly tends to progress slowly early signs may not be obvious for years Sometimes people notice the physical changes only by comparing old photos with newer ones Overall acromegaly signs and symptoms tend to vary from one person to another and may include any of the following: Enlarged hands and feet Enlarged facial features including the facial bones lips nose and tongue Coarse oily thickened skin Excessive sweating and body odor Small outgrowths of skin tissue (skin tags) Fatigue and joint or muscle weakness Pain and limited joint mobility A deepened husky voice due to enlarged vocal cords and sinuses Severe snoring due to obstruction of the upper airway Vision problems Headaches which may be persistent or severe Menstrual cycle irregularities in women Erectile dysfunction in men Loss of interest in sex
